1000000 0.0025666	1000000 0.0026756	1000000 0.002505	1000000 0.0013256	1000000 0.0009246
80900000 0.203843	80900000 0.20374	80900000 0.203837	80900000 0.102988	80900000 0.0712398
160800000 0.403849	160800000 0.403228	160800000 0.401869	160800000 0.201757	160800000 0.140549
240700000 0.602539	240700000 0.602695	240700000 0.602251	240700000 0.316227	240700000 0.207802
320600000 0.805664	320600000 0.80783	320600000 0.805935	320600000 0.404258	320600000 0.275742
400500000 1.00361	400500000 1.00163	400500000 0.999972	400500000 0.501814	400500000 0.345776
480400000 1.20113	480400000 1.20304	480400000 1.20323	480400000 0.604664	480400000 0.41258
560300000 1.4098	560300000 1.40334	560300000 1.40007	560300000 0.705424	560300000 0.481676
640200000 1.59726	640200000 1.59641	640200000 1.59497	640200000 0.803651	640200000 0.548474
720100000 1.80334	720100000 1.80075	720100000 1.79869	720100000 0.903567	720100000 0.617649
800000000 1.99455	800000000 1.99315	800000000 1.99902	800000000 1.00605	800000000 0.683831
