6000000 0.0240216	6000000 0.025504	6000000 0.0134014	6000000 0.017891	6000000 0.0128636
145400000 0.57579	145400000 0.618273	145400000 0.33505	145400000 0.349837	145400000 0.288713
284800000 1.13105	284800000 1.22409	284800000 0.623763	284800000 0.72223	284800000 0.560872
424200000 1.69302	424200000 1.79934	424200000 0.929161	424200000 1.08181	424200000 0.834596
563600000 2.22616	563600000 2.38401	563600000 1.23251	563600000 1.41525	563600000 1.11039
703000000 2.80146	703000000 2.97226	703000000 1.53957	703000000 1.66043	703000000 1.37629
842400000 3.32826	842400000 3.57278	842400000 1.8438	842400000 2.12133	842400000 1.6489
981800000 3.88454	981800000 4.15661	981800000 2.14924	981800000 2.38928	981800000 1.92167
1121200000 4.44461	1121200000 4.76525	1121200000 2.45683	1121200000 2.72646	1121200000 2.19163
1260600000 4.96934	1260600000 5.3664	1260600000 2.75759	1260600000 3.1246	1260600000 2.46585
1400000000 5.53451	1400000000 5.95124	1400000000 3.06402	1400000000 3.3885	1400000000 2.74069
